description,category,disposal_instruction,common_confusion,material_composition
soiled compact patterned Imported spoiled food with liquid inside,Food Organics,"If no compost available, place in general waste.",,Biodegradable matter derived from plant or animal sources.
torn purple Brand A flyer,Paper,"If stained with food or oil, place in general waste.",,Cellulose fibers derived from wood pulp or recycled paper.
soda bottle with food residue,Plastic,Plastic bags can be returned to supermarket collection points.,,Polymer materials derived from petrochemicals or plant-based sources.
torn Eco-Friendly styrofoam,Miscellaneous Trash,Check for recyclable components before disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
full compact spotted meat scraps with food residue,Food Organics,"If no compost available, place in general waste.",Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
patterned Imported food tin with label attached,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
broken ceramic worn jeans partially filled,Textile Trash,Some retailers accept old clothing for recycling.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
standard floral chicken bones partially filled,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
torn enormous spotted Artisanal tree bark,Vegetation,Place in green waste bin or compost.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
transparent yogurt container,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
ripped standard blue Homemade plant cuttings with label attached,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
ripped Generic glass ornament leaking,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
clean compact Premium bubble wrap,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
new compact wire hanger,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",,"Aluminum, steel, tin or mixed metal alloys."
broken red dryer lint,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,,Various non-recyclable materials often with mixed composition.
used mini orange food container,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
used tiny striped Premium cereal box,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
dry gold egg carton sealed,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
compact Organic rubber band,Miscellaneous Trash,Place truly non-recyclable items in general waste.,,Various non-recyclable materials often with mixed composition.
gold Brand A glass bottle,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
used baby clothes,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
dry personal egg carton with contents,Cardboard,Flatten boxes before placing in cardboard recycling.,,Thick paper pulp formed into corrugated or solid sheets.
damaged blue glass sheet,Glass,"Place in glass recycling bin, sorted by color if required.",,"Silica-based material, may contain additives for color or strength."
ripped floral Natural flower petals,Vegetation,Place in green waste bin or compost.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
blue plastic-metal composite,Miscellaneous Trash,Place truly non-recyclable items in general waste.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
wrinkled Local carpet piece,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
full gold weeds,Vegetation,Consider home composting for small amounts.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
empty battery,Miscellaneous Trash,Hazardous items like batteries require special disposal.,,Various non-recyclable materials often with mixed composition.
